tau,criterion,thresh,fp,tp,fn,precision,recall,accuracy,f1,n_true,n_pred,mean_true_score,mean_matched_score,panoptic_quality,by_image
0.1,iou,0.1,891,5409,594,0.8585714285714285,0.9010494752623688,0.7845953002610966,0.8792977322604243,6003,6300,0.6595184056734653,0.7319447197740456,0.64359733223731,False
0.2,iou,0.2,905,5395,608,0.8563492063492063,0.8987173080126604,0.7809785755645628,0.8770218645858734,6003,6300,0.6591456062333416,0.7334293001332252,0.6432335323447533,False
0.3,iou,0.3,957,5343,660,0.8480952380952381,0.8900549725137431,0.7676724137931035,0.8685686417946842,6003,6300,0.6569223475420493,0.7380694090014827,0.641063944126623,False
0.4,iou,0.4,1087,5213,790,0.8274603174603175,0.8683991337664501,0.7352609308885755,0.8474355848167113,6003,6300,0.6491715677297256,0.7475497642588803,0.633500271654319,False
0.5,iou,0.5,1363,4937,1066,0.7836507936507936,0.8224221222721972,0.6702416508281293,0.8025684792327075,6003,6300,0.6284380202171863,0.7641307343252521,0.6132672413823896,False
0.6,iou,0.6,1691,4609,1394,0.7315873015873016,0.7677827752790272,0.5990382115934494,0.7492481508575144,6003,6300,0.5983027900315793,0.779260500880792,0.5838594893212339,False
0.7,iou,0.7,2399,3901,2102,0.6192063492063492,0.6498417457937697,0.4642942156629374,0.6341542713159392,6003,6300,0.5207632478824878,0.8013693353085297,0.5081917868875192,False
0.8,iou,0.8,4330,1970,4033,0.3126984126984127,0.32816924870897884,0.19065131133262364,0.3202470942046655,6003,6300,0.27749951839367587,0.8455987862524043,0.2708005541603245,False
0.9,iou,0.9,6183,117,5886,0.018571428571428572,0.019490254872563718,0.009601181683899557,0.019019751280175568,6003,6300,0.017809134988849926,0.9137456182740692,0.017379214392923042,False
